name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Peaceful comfortable cosy apartment,Özge,Uskudar,41.03363,29.04794,Entire home/apt,359,2,1,0.02,0
"Cosy Designer Room in Moda, Kadikoy",Emre & Hande,Kadikoy,40.98869,29.02523,Private room,142,1,73,1.67,336
"TAKSİM SQURE,SECURE,PRIVATE ROOM",Hicran,Beyoglu,41.0339,28.99179,Private room,148,2,13,0.29,365
1 bedroom with modern designed,Zeynep,Basaksehir,41.10662,28.75436,Private room,58,1,2,0.36,352
Charming Double Room in Beşiktaş!,Başak,Besiktas,41.04383,29.00881,Private room,79,5,16,0.36,248
Cosy Single room in Beşiktaş!,Başak,Besiktas,41.04469,29.00817,Private room,58,4,4,0.13,262
Lovely Single Room in Beşiktaş!,Başak,Besiktas,41.04438,29.0083,Private room,53,4,13,0.29,264
We pride ourselves on our new facil,Muro,Fatih,41.00394,28.96517,Entire home/apt,142,4,16,0.4,365
Cosy room in central Beşiktaş,Beyza & Burak,Besiktas,41.04431,29.00694,Private room,111,1,9,0.2,293
Room in City Center Istanbul 1,Mehmet,Beyoglu,41.03778,28.98113,Private room,295,2,10,0.23,365
Pretty rooms for rent 1,Tolga,Beykoz,41.08429,29.06962,Private room,127,1,1,0.02,365
Double room - Uskudar - Bosphorus zone,Gonca,Uskudar,41.02,29.01679,Private room,148,1,4,0.1,362
Room in a historical pavilion,Merve,Adalar,40.9134,29.04882,Private room,227,1,12,0.37,364
Central flat 2 mins walk to metro,Ruya,Sisli,41.07753,29.00783,Private room,121,1,7,0.16,364
Charming apartment in Sultanahmet,Hikmet,Fatih,41.00661,28.96972,Entire home/apt,195,1,251,5.61,322
Stylish one bedroom apartment,Hikmet,Fatih,41.00513,28.96772,Entire home/apt,174,2,152,3.48,331
Newly furnished apt in Sultanahmet,Hikmet,Fatih,41.00482,28.96746,Entire home/apt,221,2,111,2.54,331
COZY APPRTMENT GARDEN+PRIVATE POOL,SGY Gayrimenkul Yatirim AS,Adalar,40.87849,29.06666,Entire home/apt,1397,6,2,0.05,359
Cozy room in the heart of city cnt,Bersan,Sisli,41.05099,28.98888,Private room,79,1,7,0.16,0
Cozy apartment with an amazing view,Ezgi,Beyoglu,41.03272,28.9777,Entire home/apt,348,2,1,0.03,358
"Nice, Clean Room in the Center",Özgür Nehir,Sisli,41.05586,28.98401,Entire home/apt,6000,1,2,0.04,0
Great Location 04,Nida,Beyoglu,41.03693,28.97573,Entire home/apt,237,2,10,0.23,351
Rent Room,Gülçin,Sisli,41.05281,28.97883,Shared room,79,3,1,0.17,363
Economic luxury close to everywhere,Osman,Beyoglu,41.02676,28.96841,Entire home/apt,232,2,27,0.64,296
Old greek house,Julia,Beyoglu,41.03743,28.97752,Private room,90,2,1,0.02,0
Beautiful location 4 mins to Square,Kerem,Beyoglu,41.04034,28.98156,Entire home/apt,190,1,179,4.16,294
Akin PinkHouse red room Good Location Fener Balat,Tahir,Fatih,41.03037,28.94821,Private room,142,2,3,0.3,327
Central and cozy roof in Besiktas,Onur,Besiktas,41.04375,29.00383,Entire home/apt,791,1,4,0.09,365
Your twin home in istanbul,Mustafa,Bahcelievler,40.99353,28.84979,Private room,100,1,1,0.15,365
Nice room with garden,Ümit,Kadikoy,40.99662,29.04515,Private room,79,1,8,0.18,364
APARTMENT WITH TERRACE AT KADIKOY,Sabiha,Kadikoy,40.99368,29.03008,Entire home/apt,306,7,8,0.19,153
Room in Kurtuluş close to subway,Burcu,Sisli,41.04833,28.98284,Private room,79,1,1,0.02,365
"Voyager House at Taksim
Private bedroom",Shahrzad,Sisli,41.04454,28.9781,Entire home/apt,105,1,87,1.94,0
Camelot Aparts loft,Alev,Fatih,41.0036,28.97197,Private room,211,1,1,0.02,365
Cozy room at Harbiye for 2 persons,Savaş,Sisli,41.04759,28.98619,Private room,295,2,29,0.65,90
"Good located, 2bedrooms flat",Orhan,Beyoglu,41.03156,28.9863,Entire home/apt,369,3,12,0.28,364
Ferah ve gayet dinlendirici yer,Mustafa,Bakirkoy,40.96766,28.82399,Shared room,69,1,1,0.09,363
"Full Sea view, Ortakoy Apartment",Didem,Besiktas,41.05658,29.02813,Private room,237,2,2,0.05,363
The heart of Istanbul Besiktas,Kerem,Besiktas,41.04529,29.00206,Entire home/apt,237,3,57,1.3,282
In the heart of Taksim you've room!,Savas,Beyoglu,41.03536,28.9874,Private room,90,2,48,1.08,357
roxanne home,Kurtuluş,Uskudar,41.01348,29.01448,Entire home/apt,79,5,1,0.02,0
Blue Mosque 2 munıtes Hagia Sophia,Serkan,Fatih,41.00271,28.97749,Private room,211,1,5,0.13,343
Sultanahmet place good location,Serkan,Fatih,41.0043,28.97791,Private room,290,1,6,0.14,343
Very Location in the old city (SH2),Pasuri Apart,Fatih,41.00924,28.94801,Entire home/apt,369,4,3,2.31,294
Cozy room near by Boğaziçi Univ.,Damla,Sariyer,41.08671,29.04925,Private room,105,1,6,0.14,365
★Vintage Flat Next to GalataTower★,Akif,Beyoglu,41.02805,28.97212,Entire home/apt,464,2,150,3.41,324
Residence Flat in the center of Istanbul,Serdar Aksel,Sisli,41.07559,29.00687,Entire home/apt,290,2,1,0.07,364
Comfy&stylish apartment in Beyoglu,Ömer,Beyoglu,41.0285,28.97475,Entire home/apt,538,5,11,0.25,362
Central and spacious at east side close Bosphorus,Filiz,Uskudar,41.01777,29.0382,Private room,105,3,10,0.32,89
big room with a nice balcony with garden view,Gökhan,Sariyer,41.11451,29.04994,Private room,90,1,10,0.22,365
Generous 75 sqm full of Art,Jonas,Beyoglu,41.02965,28.97743,Entire home/apt,654,3,19,0.44,335
For guests,Ugur,Esenyurt,41.01868,28.64459,Private room,63,1,2,0.12,365
A central room in Taksim in Beyoglu,Savas,Beyoglu,41.03459,28.98762,Private room,100,2,55,1.25,359
"Quiet, comfy, and furnished room",Gökhan,Sariyer,41.11561,29.05102,Private room,90,1,12,0.29,365
"Sunny, cute, classic Istanbul flat",Murat Turan,Beyoglu,41.03217,28.98471,Entire home/apt,121,1,75,1.74,356
Elite,Muammer,Fatih,41.00241,28.97145,Private room,359,1,2,0.05,365
Home with garden,Osman,Sisli,41.05532,28.97921,Entire home/apt,417,2,17,0.39,354
Perfect Location on İstiklal Avenue,Cem,Beyoglu,41.0309,28.97538,Entire home/apt,121,2,1,0.04,0
brand lüks family,Ilhan,Beyoglu,41.0383,28.98291,Private room,301,1,1,0.17,365
BRAND:Orthopedic beds  special room,Ilhan,Beyoglu,41.03884,28.98114,Private room,221,1,1,0.21,365
brand: v.i.p room very nice,Ilhan,Beyoglu,41.0406,28.98235,Private room,243,1,1,0.29,365
1+1 Lux Suit @ Taksim Square (Very Touristic),Sadi,Beyoglu,41.04077,28.98259,Entire home/apt,327,3,1,0.07,364
Central Cozy Flat CİHANGİR/TAKSİM,Ulaş,Beyoglu,41.0345,28.98485,Entire home/apt,179,1,28,0.65,260
Room available for rent in İstanbul,Murat,Beyoglu,41.03354,28.98653,Private room,185,1,1,0.02,365
Carina Park Suites & Residance #3,Onur Salih,Sisli,41.05559,28.99149,Private room,237,1,22,0.54,347
calm and large 1 room (+1) in Moda,Nacide,Kadikoy,40.98314,29.03342,Private room,100,2,4,0.26,348
Cozy apt at the heart of Kadikoy,Gokce,Kadikoy,40.98567,29.02688,Entire home/apt,258,3,10,0.26,267
Affordable Room w Attached Private Balcony,Fati,Sisli,41.04811,28.98739,Private room,74,21,1,0.05,345
3 Bedroom and Saloon in the centre,Pasuri Apart,Fatih,41.00767,28.95006,Entire home/apt,316,4,6,0.15,355
Amazing Villa w Swimming Pool,Nursema,Kartal,40.90738,29.15052,Entire home/apt,886,3,19,0.5,169
"Cosy, zen room close to Taksim",Tevfik,Sisli,41.04731,28.98426,Private room,58,7,1,0.02,365
Cmfrtble Room in an Artist's home,Dyab,Sisli,41.08404,29.00782,Private room,84,1,1,0.02,365
Cozy room at a central location,Tuğçe,Sisli,41.0624,28.99552,Private room,100,1,1,0.02,364
Great Flat at the Heart of Istanbul / short term,Kübra,Beyoglu,41.02969,28.98113,Private room,127,6,12,0.28,365
Cozy Apartment in Salacak,Nil,Uskudar,41.01484,29.01431,Entire home/apt,290,5,6,0.14,362
Cosy Room in Taksim,Orkun,Beyoglu,41.03526,28.97411,Private room,79,3,17,0.4,345
Artsy room in Beyoğlu (near Taksim),Deniz,Beyoglu,41.03498,28.99192,Private room,132,1,1,0.02,0
"Center Location, Clean, Chic, Cozy",Ahmet,Sisli,41.0599,28.98941,Entire home/apt,264,4,1,0.13,362
stüdyo apartment in historical city center,Süleyman & Taner,Fatih,41.00361,28.9749,Entire home/apt,127,2,107,2.69,315
Ahmetefendievi Family Room,Ahmet Efendi,Fatih,41.00321,28.98081,Private room,295,1,2,0.05,363
Ahmetefendievi Family Room,Ahmet Efendi,Fatih,41.00412,28.9796,Private room,295,1,4,0.1,0
My lovely place,Hale,Sisli,41.06481,28.99677,Private room,148,3,9,0.21,85
ROA HEAVEN - Gate of The Sun ❤️,Safak,Beyoglu,41.03049,28.98681,Entire home/apt,870,2,167,3.77,250
Vintage Room @ Central Kadıköy/Moda,Tolga,Kadikoy,40.98432,29.02704,Private room,58,1,1,0.02,0
"Lovely Apartment Downtown, Taksim",Deniz,Sisli,41.04257,28.98429,Entire home/apt,295,3,47,1.1,365
"Cosy apartment, central location",Deniz,Sisli,41.04977,28.98111,Entire home/apt,179,5,2,0.05,0
Nice and bright room in Kadıköy,Sena,Kadikoy,40.99587,29.02678,Private room,105,1,24,0.56,232
Akin PinkHouse green roomGood location Fener Balat,Tahir,Fatih,41.02982,28.94929,Private room,142,2,22,0.5,300
Akin PinkHouse Triple rm good locationFener-Balat,Tahir,Fatih,41.02979,28.94903,Private room,211,2,1,0.03,362
"CİTY CENTER , EASY ACCESS",Koray,Sisli,41.05951,28.98785,Entire home/apt,148,1,65,3.06,210
Very central location and sightly,Serpil,Sisli,41.06693,28.99361,Private room,84,3,5,0.12,365
"CENTRAL, COZY APARTMENT IN TAKSIM",Tajda,Beyoglu,41.03723,28.9739,Entire home/apt,237,1,15,0.34,365
Economic 5 or 6 persons Friendly Family Apartment2,Muro,Fatih,41.00418,28.96438,Entire home/apt,353,4,6,0.14,365
Spacious Room Near Taksim,Umut Orkun,Fatih,41.02056,28.93083,Private room,132,1,1,0.07,338
FEYZA DELUX APARTMENT(5 PERSONS),Mehmet Cevat,Fatih,41.00459,28.97016,Entire home/apt,248,1,38,0.92,360
Cosy Flat with great view,Ulus,Beyoglu,41.03523,28.98474,Entire home/apt,295,2,1,0.02,0
Midillis 102 (Twin Room),Kamuran,Fatih,41.00461,28.97527,Private room,148,2,5,0.3,327
Breath taking view/heart of Kadıkoy,Safak,Kadikoy,40.98876,29.02892,Entire home/apt,475,2,2,0.06,0
One bed room in Sultanahmet Wifi,Yasar,Fatih,41.00756,28.96979,Private room,295,1,120,2.72,346
"Two Bedroom - Grand Bazaar Area,  5 Guests",Yavuz,Fatih,41.00656,28.96505,Entire home/apt,211,1,173,4.01,300
Deluxe Large Apt for 9 px 2bathroom,Aycan,Fatih,41.00251,28.97681,Entire home/apt,359,1,4,0.16,365
MALL OF ISTANBUL APARTMENTS,Hakan,Basaksehir,41.06306,28.80563,Entire home/apt,248,1,3,0.11,365
famous luxury place in istanbul,Antonio,Sisli,41.04943,28.99264,Entire home/apt,274,1,62,1.47,329
Historical villa in Kinaliada,Merve,Adalar,40.91248,29.0496,Entire home/apt,1598,1,3,0.4,359
Private room in Beyoğlu(nice view),Kaan,Beyoglu,41.03383,28.97151,Private room,44671,1,13,0.3,363
"haftalik, aylik kiralik oda",Hulya,Beyoglu,41.03769,28.98281,Private room,90,1,2,0.43,365
Greek Apartment with PrivateTerrace,Özgür,Beyoglu,41.02823,28.97535,Entire home/apt,417,3,93,2.1,324
Galata Apartment wt Private Terrace,Istaybul,Beyoglu,41.02726,28.97521,Entire home/apt,322,3,39,0.89,324
Arsenal Hotel Standart oda,Seyit,Fatih,41.00879,28.97515,Private room,237,2,1,0.28,0
Super Blick auf das Meer  Istanbul,Gülsen,Adalar,40.88347,29.06158,Entire home/apt,448,3,3,0.07,365
Cozy Flat,Alper,Beyoglu,41.03123,28.96827,Entire home/apt,380,1,1,0.02,365
Sea View - Family Room,Eser,Fatih,41.00516,28.96942,Private room,891,1,3,0.07,365
Apartment in the Heart of the City9,ISlK,Beyoglu,41.03804,28.9841,Entire home/apt,179,2,100,2.35,333
"Cosy,bluesky room in livelyBeşiktaş",Irene,Besiktas,41.04859,29.00063,Entire home/apt,121,2,1,0.02,0
5 min away from taksim,K Semih,Sisli,41.04393,28.98101,Private room,301,3,4,0.1,365
Cosy flat in the heart of Istanbul,Neslihan,Besiktas,41.07478,29.01847,Entire home/apt,237,3,11,0.27,355
Private Room in Central Taksim,Evren,Beyoglu,41.03494,28.99089,Private room,95,2,6,0.14,365
Charming Room In Hip Location,Macassam,Beyoglu,41.03159,28.98283,Private room,596,1,1,0.03,365
Single room in perfect location,Tajda,Beyoglu,41.03535,28.98205,Private room,74,1,11,0.25,365
Very Central Big DuplexFlat,Ahmad,Beyoglu,41.0462,28.94711,Entire home/apt,385,3,7,0.16,365
Single Room in Kadıköy Room 201,Günay,Kadikoy,40.99211,29.02777,Private room,74,5,1,0.03,364
Single Room in Kadıköy Room 203,Günay,Kadikoy,40.99179,29.02642,Private room,74,5,1,0.04,333
"Antique Hostel, Triple Room ensuite",Antique,Fatih,41.00508,28.98051,Private room,237,1,1,0.28,329
"Central, cosy, greens with Sea view",Davut,Uskudar,41.02135,29.0086,Entire home/apt,127,1,90,2.08,209
Kadıköy: The new center of life,Defne,Kadikoy,40.98825,29.02885,Entire home/apt,237,1,1,0.02,363
Private Room in Kadıköy,Pınar,Kadikoy,40.99943,29.04356,Private room,47,1,1,0.02,0
"Cosy,green and central in Beşiktaş",Irene,Besiktas,41.04827,29.00091,Entire home/apt,90,3,1,0.02,0
Exeptional Boshphorus View,Serkan,Uskudar,41.02887,29.0189,Private room,63,5,1,0.04,365
Cozy Room near Center,Serap,Sisli,41.07336,28.99989,Private room,127,1,3,0.11,364
"Suadiye Sahil, Deniz manzaralı",Ismail,Kadikoy,40.95747,29.08043,Entire home/apt,148,5,1,1.0,365
Roof top+Cosy Room+Breakfast+Wi-Fi+Air Conditioner,Serdar,Fatih,41.02879,28.94993,Private room,90,2,101,2.89,268
Quiet/nice room in perfect location,Burçin,Beyoglu,41.03313,28.9878,Private room,148,1,40,0.97,365
Hancı Apart  with free Wi-Fi,Yavuz,Fatih,41.0059,28.96573,Entire home/apt,111,2,19,0.44,3
45 m2 Centre of the Istanbul,Ayhan,Beyoglu,41.03172,28.97505,Entire home/apt,100,1,53,1.23,136
Cute studio with garden,Astrid,Beyoglu,41.03342,28.98525,Entire home/apt,90,30,3,0.07,214
3 Bedroom Very Confortable Apartment (GND2),Pasuri Apart,Fatih,41.00751,28.94803,Entire home/apt,369,4,1,0.58,353
Apartment+Terrace in Trendy Dist.,Meric Sevgi,Besiktas,41.04767,28.99674,Entire home/apt,248,2,2,0.25,352
Cosy Flat in Asian side in a central location,Selcen,Uskudar,41.02572,29.02156,Entire home/apt,142,3,21,0.6,355
Big and comfortable sofa in Kadıköy,Mehmet,Kadikoy,40.98746,29.04837,Shared room,58,1,4,0.23,90
Artist's Room in Kadikoy!,Maia & Utku,Kadikoy,40.99279,29.03178,Private room,90,1,1,0.03,365
Artist's Room in ErasmusNeighborhod,Maia & Utku,Kadikoy,40.99321,29.03259,Private room,132,1,2,0.05,365
Clean Terraced and Cute House,Hakan,Kagithane,41.07827,28.9795,Private room,158,3,1,0.03,90
Sweet Little Garden in Taksim,Serçin,Beyoglu,41.03218,28.98646,Entire home/apt,232,3,32,0.74,48
Lovely Flat with Spacious Terrace,Bettina,Kadikoy,40.98432,29.02321,Entire home/apt,269,3,2,0.05,0
Comfortable and chic in city center,Gökçen,Sisli,41.05103,28.98524,Entire home/apt,274,2,31,0.74,352
Room @comfy and chic flat in center,Gökçen,Sisli,41.05054,28.98551,Private room,121,2,2,0.05,355
taksim istanbul apart  1+1 flat in Taksim,Halil,Beyoglu,41.03791,28.98032,Entire home/apt,359,1,1,0.02,365
"Quite flat, very central Location",Semih,Beyoglu,41.0262,28.97146,Entire home/apt,211,2,62,1.5,289
Living in the heart of Istanbul,Semih,Beyoglu,41.02687,28.97342,Entire home/apt,269,2,67,1.61,329
"Spacious, bright and quiet room",Cicek,Kadikoy,40.98841,29.03004,Private room,47,1,2,0.05,0
''AirBnB Legend'' + Central room at Taksim,Ufuk,Beyoglu,41.03632,28.9737,Private room,121,3,97,2.27,365
Well-Designed Studio w/ Kitchen in Gumussuyu,Gizem,Beyoglu,41.03499,28.98682,Entire home/apt,148,2,27,0.65,155
Cozy Apartment in The Most Central Spot,Ersin,Beyoglu,41.03421,28.98049,Private room,63,2,35,1.96,46
few step taksim square cozy flat,Recep,Beyoglu,41.04016,28.98157,Private room,343,2,16,0.37,179
"Nice, quiet...",Erdal,Uskudar,41.02411,29.02554,Private room,148,4,1,0.04,364
Üsküdar Center of City,Emre,Uskudar,41.02255,29.02062,Private room,58,1,1,0.02,0
Room at center of Besiktas (Female Visitors Only),Buse,Besiktas,41.04735,29.0053,Private room,47,1,2,0.05,261
Central Old Town Flat Up To 7people,Onur,Fatih,41.00968,28.97745,Private room,591,1,2,0.05,365
İstanbul Tarabya da emsalsiz villa,Tayfun,Sariyer,41.14178,29.03783,Entire home/apt,580,2,4,0.19,365
Feel at Home When You're Away,Hasan,Fatih,41.00389,28.97132,Entire home/apt,264,3,1,0.03,180
Flat Apt. Center Of The İstanbul,Orcun,Bakirkoy,40.99399,28.87314,Private room,111,2,4,0.69,364
"Apartment in Moda, Kadikoy",Mert,Kadikoy,40.98654,29.02285,Entire home/apt,269,5,4,0.1,232
Şile'de temiz küçük bir oda,Ahmet,Sile,41.17261,29.61341,Private room,206,2,1,0.02,365
Boho-chic apt. in the heart of city,Rana,Beyoglu,41.02807,28.97959,Entire home/apt,359,3,14,0.33,363
Flat in Historical Peninsula,Nazır,Fatih,41.00901,28.94062,Entire home/apt,111,2,3,0.07,207
Centrally located and recently renovated flat,Altan,Kadikoy,40.98168,29.041,Entire home/apt,200,1,16,0.38,291
Conveniently-located flat!,Zalal,Beyoglu,41.03552,28.98541,Entire home/apt,195,2,13,0.31,262
Kalamış Fener caddesi 43,Emine Nuran,Kadikoy,40.97676,29.04244,Entire home/apt,401,3,27,0.66,296
Cosy room in great location.,Enes,Kadikoy,40.98359,29.02186,Private room,179,3,1,0.02,0
The Flat -Near The Airport-,M.Furkan,Pendik,40.88577,29.25142,Private room,74,2,1,0.03,365
New Building in the Heart of City,Emrah,Sisli,41.04843,28.98689,Entire home/apt,190,30,11,0.26,365
Mini Suit in Centre of Beyoğlu,Neva,Beyoglu,41.03236,28.9799,Private room,475,1,8,0.19,360
Stylish Suit in Beyoğlu,Neva,Beyoglu,41.03195,28.97887,Entire home/apt,279,1,21,0.8,363
Stylish Suit with Balcony,Neva,Beyoglu,41.03247,28.98041,Private room,285,1,7,0.21,358
Stylish Suit with balcony in Centre,Neva,Beyoglu,41.03199,28.97869,Private room,506,1,2,0.08,359
The hidden beauty of Galata!,Kerem,Beyoglu,41.02613,28.97629,Entire home/apt,385,2,37,0.86,101
Triplex flat with rooftop terrace!,Sarah,Besiktas,41.0461,29.0017,Private room,58,3,6,0.14,0
Room In Besiktas Center,Ahmet,Besiktas,41.04439,29.01142,Private room,105,1,1,0.2,89
"CİTY CENTER , NEAR THE MOSQUE, SHOPPİNG MALL",Koray,Sisli,41.05977,28.98655,Entire home/apt,148,1,48,2.73,195
Comfy Room w/Balcony&Sea view,Ramiz,Fatih,41.00192,28.97824,Private room,332,1,12,0.28,364
Cozy apartment,Emrah,Sisli,41.04824,28.9877,Entire home/apt,190,30,5,0.12,364
Historical Flat in the Very Center,Azadeh,Beyoglu,41.03472,28.98454,Entire home/apt,475,3,4,0.09,0
Very Safe Confortable and Cheap YL5,Pasuri Apart,Fatih,41.00749,28.94778,Entire home/apt,158,5,1,0.03,348
Sunny room,Merve,Kadikoy,40.98419,29.02532,Private room,58,5,2,0.12,173
Studio-Flat at Galatasaray-Taksim,Giorgio,Beyoglu,41.03778,28.97584,Entire home/apt,211,2,1,0.03,323
TARABYA bestlocation  near metro bosphorus  secure,Arzu,Sariyer,41.13867,29.03431,Entire home/apt,316,1,1,0.12,365
Sentire Hotels & Residences,Muzaffer,Beyoglu,41.03667,28.98126,Entire home/apt,1070,1,1,0.15,365
DENİZ MANZARALI HAVUZLU 3+1 DAİRE,Zafer,Adalar,40.8669,29.12676,Entire home/apt,749,1,1,0.02,0
an Earthy Bohemian space,Ezgi,Beyoglu,41.03218,28.98661,Entire home/apt,227,3,11,0.26,360
"Modern,Safe&Cosy Room in TAKSIM SQ.",Roxana,Beyoglu,41.03681,28.99055,Private room,179,1,5,0.12,364
DENİZ DOĞA MANZARALI HAVUZLU VİLLA,Zafer,Adalar,40.86827,29.12663,Entire home/apt,902,1,1,0.02,0
Private room near Marmara Universty,Ali,Kadikoy,40.98912,29.0507,Private room,42,2,3,0.08,365
EXECUTİVE 4+1 DENİZ MANZARALI DAİRE,Büyükada Apart,Adalar,40.86785,29.12732,Entire home/apt,649,1,7,0.18,358
BStyleHomes: Authentic Buyukada house with pool,Eda,Adalar,40.87078,29.13153,Entire home/apt,1318,4,6,0.15,305
Cozy Apartment in Moda-Kadıköy,Mehmet,Kadikoy,40.98654,29.02494,Entire home/apt,63,90,1,0.02,0
"Voyager House near Taksim square  
Entire house",Shahrzad,Sisli,41.04559,28.97795,Entire home/apt,237,2,48,1.16,295
Kadıköy merkezde ulaşımı çok kolay,Tan,Kadikoy,40.9878,29.03017,Private room,69,2,18,0.44,79
Perfect room Kadikoy Moda,Guliz,Kadikoy,40.9807,29.02441,Private room,179,1,1,0.02,365
Historic Flat with Sea View,Kaan,Beyoglu,41.03471,28.97335,Entire home/apt,232,4,65,1.54,197
Cozy room near Bogazici University,Erhan,Sariyer,41.08787,29.0485,Private room,47,2,1,0.21,0
Amazing Bosphorus view - Sea Mansion,Nur,Besiktas,41.06226,29.03364,Entire home/apt,448,2,5,0.13,363
Historic Flat by Bosporus coast,Kaan,Sariyer,41.12241,29.07063,Entire home/apt,237,4,7,0.22,77
Relaxing Flat in Taksim,Ali,Beyoglu,41.02774,28.97764,Entire home/apt,269,2,69,1.69,323
Kadıköy Yeldegirmeni,Okan,Kadikoy,40.99789,29.02813,Private room,79,1,1,0.02,363
"Large, Charming & Sunny 2 Bedroom + Cottage",Furkan,Fatih,41.01501,28.93244,Entire home/apt,132,1,23,0.54,262
Modern Flat in Taksim No:3,Ahmet,Beyoglu,41.03449,28.97635,Entire home/apt,179,5,25,0.59,320
my little house plenty of light,Saadet,Kadikoy,40.99372,29.02807,Entire home/apt,237,2,2,0.05,83
Family in Old City,Ozlem,Fatih,41.00412,28.9766,Private room,327,1,120,2.82,180
Central apartment in Golden Horn with a view,Ana,Fatih,41.02384,28.95814,Entire home/apt,169,2,1,0.04,0
DOUBLE DELUXE ROOM-1,Veysel,Fatih,41.01498,28.95803,Private room,290,1,3,0.08,365
Legacy Nora Apart No:1,Ahmet,Beyoglu,41.03564,28.97687,Entire home/apt,179,5,11,0.26,330
"Large, sunny private room",Onur,Sisli,41.06202,29.00047,Private room,58,1,1,0.09,363
Luxry room is waiting you,Justine,Buyukcekmece,41.00619,28.60656,Private room,105,1,2,0.09,364
"Flat in Cihangir, near Taksim.",Gokalp,Beyoglu,41.0337,28.98693,Entire home/apt,237,1,1,0.02,0
PIERRELOTI HOUSE SUITE,Abdullah,Eyup,41.05465,28.93158,Entire home/apt,206,1,27,1.58,286
The location close to the beach,Melike,Kartal,40.90384,29.16072,Private room,132,2,2,0.06,364
Sophisticated and stylish flat,Funda,Sisli,41.05162,28.98402,Private room,90,1,2,0.06,83
Cosy Room @ Kadıköy Moda,Emre,Kadikoy,40.98816,29.02114,Private room,74,2,21,0.49,55
Maya Rooms,Kadir,Beyoglu,41.03806,28.9836,Private room,237,3,4,0.1,365
The location close to the beach,Melike,Kartal,40.90517,29.16003,Private room,79,2,9,0.24,264
Leon Apartment in Taksim # 301,Kürşad,Beyoglu,41.03538,28.97528,Entire home/apt,148,1,80,1.86,309
Your Flat Center of Taksim,Mustafa,Beyoglu,41.03681,28.98385,Entire home/apt,121,3,46,1.1,362
İN THE HEART of İSTANBUL (CİHANGİR),Sefa,Beyoglu,41.03264,28.9865,Entire home/apt,295,3,29,0.68,357
In the centre of Asia Part,Bihter,Kadikoy,40.98337,29.06035,Private room,74,1,1,0.09,89
Perfect locatıon and cute apertmant,Berivan,Beyoglu,41.02942,28.98174,Entire home/apt,169,3,15,0.36,0
maison de jardin,Nabila,Fatih,41.00695,28.94556,Entire home/apt,475,3,1,0.03,365
10 min.walk distance to the CevahirMall and metro,Alper,Sisli,41.05768,28.98111,Entire home/apt,374,1,3,1.43,360
Perfct room in mecidiyekoy istanbul,Halit,Sisli,41.07083,29.00153,Private room,121,60,1,0.02,365
Nice room in mecidiyekoy istanbul,Halit,Sisli,41.07096,29.00347,Private room,100,60,1,0.02,365
Stay in the old city (Seher 1 Apt),Pasuri Apart,Fatih,41.00718,28.94766,Entire home/apt,316,4,1,0.6,365
"SINGLE ROOM.  Good located, single room...",Orhan,Beyoglu,41.03084,28.98608,Private room,74,2,1,0.11,347
Cozy Garden Flat Harbiye / Taksim,Ozan,Sisli,41.04455,28.9847,Entire home/apt,854,2,3,0.17,90
"Spacious Apartment in Local Area,Balcony,Taksim",Ismail,Beyoglu,41.03478,28.97356,Entire home/apt,132,1,29,0.69,352
TRİPLE ROOM WİTH SHARED BATHROOM,Mustafa,Fatih,41.01513,28.97744,Private room,121,1,2,0.09,364
Genuine Istanbul Experience  Galata,Yasemin,Beyoglu,41.0307,28.97951,Entire home/apt,538,2,196,4.64,274
Cosy Apartment with a Bosphorus view in Galata,Cagri,Beyoglu,41.02596,28.9755,Entire home/apt,311,3,40,0.95,351
GALATA Penthouse -SEAVIEW -ROOFTOP,Aytunç,Beyoglu,41.02477,28.97472,Entire home/apt,1318,30,8,0.19,171
"Centre of Kadikoy-Moda, private room in cosy flat",Davut,Kadikoy,40.98461,29.02639,Private room,90,1,26,1.5,63
"Lovely, Bright, Cosy 2br Apartment",Ozge,Sisli,41.05927,28.98862,Entire home/apt,1192,1,1,0.03,365
Cosy and 2 minut to the SAW Airport,Eren,Pendik,40.93156,29.30896,Private room,121,1,11,0.31,365
Cosy Room in Cihangir with Fantastic View!,Koray,Beyoglu,41.02929,28.98598,Private room,248,1,2,0.09,124
Egzotic  Flat in Greek Style Apt.,Necati,Beyoglu,41.03499,28.97372,Private room,58,2,3,0.07,365
Yusra Apart,Yusuf,Fatih,41.00506,28.96307,Private room,105,1,2,0.05,170
Clean and Neat One Bedroom,Ozge,Sisli,41.0593,28.98881,Entire home/apt,891,30,1,0.02,365
A Room in a Cozy apt. in very central location,Ali Ibrahim,Kadikoy,40.9952,29.03008,Private room,105,1,50,1.2,351
Discover an historical wooden Greek house,Abel,Kadikoy,40.99379,29.028,Entire home/apt,237,2,4,1.01,363
"Spacious bright and charming flat in Moda, Kadıköy",Gökçe & Derya,Kadikoy,40.98533,29.02579,Entire home/apt,295,2,8,0.42,0
TAKSİM COMFORT HOME,Ishak,Beyoglu,41.03765,28.97906,Private room,316,1,3,0.22,365
Private Double Room With Kitchen,Yavuz,Fatih,41.005,28.96732,Private room,111,2,11,0.26,2
Near to Taksim and sea vista,Ümit Bülent,Beyoglu,41.03094,28.98722,Entire home/apt,327,3,1,0.17,364
