name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365
Charming Delightful Studio@Centre 4,Fati,Beyoglu,41.02874,28.9766,Entire home/apt,132,2,81,0.9,217
Sultan,Mehmet Ali,Beyoglu,41.02845,28.97892,Entire home/apt,348,5,9,0.1,364
GREAT LOCATION & CLEAN&STYLISH,Shinnosuke,Beyoglu,41.03533,28.97341,Private room,121,3,14,0.16,365
We are in the center of Istanbul!,Tamer,Kadikoy,40.97136,29.10063,Private room,69,1,4,0.04,363
Harem,Mehmet Ali,Beyoglu,41.02865,28.97919,Entire home/apt,353,5,9,0.1,365
Exclusive Apart with Kitchenette,Ramiz,Fatih,41.0029,28.97787,Private room,311,1,44,0.5,346
Cozy studio apartment in Cihangir,Bilgehan,Beyoglu,41.03077,28.98118,Entire home/apt,364,7,113,1.3,304
Proper Home in Heart of Istanbul,Onur,Kadikoy,40.99574,29.02688,Entire home/apt,158,2,55,0.83,294
Nice and Clean Lovely Room Cihangir,Defne,Beyoglu,41.03073,28.98167,Private room,237,14,1,0.02,365
Cozy Room in the Heart of Kadıköy,Basak,Kadikoy,40.98598,29.02667,Private room,90,2,11,0.22,88
Comfy Furnished Room in a Cozy Home,Basak,Kadikoy,40.98627,29.02542,Private room,105,2,1,0.05,363
FLAT WITH HISTORICAL VIEW,Ahmet,Kadikoy,40.98441,29.02177,Entire home/apt,332,6,23,0.29,0
"Istiklal Avenue,Sadri alisik street",Berkan,Beyoglu,41.03433,28.98221,Entire home/apt,58,1,106,1.26,168
Avrupa Residence Suites Istanbul 1+1 80m2,Ercan,Gaziosmanpasa,41.08744,28.90203,Entire home/apt,506,2,5,0.36,365
"Apartment in Montmartre, Paris",Bahar,Beyoglu,41.03203,28.98564,Entire home/apt,295,7,1,0.01,358
CIHANGIR | Stunning Bosphorus View!,Ilker,Beyoglu,41.03297,28.98488,Entire home/apt,801,7,57,0.66,349
BLUE Mosque walking&Grand pazar مشي لكل مكان,Bãśmä,Fatih,41.01106,28.94568,Private room,100,3,211,2.58,83
Cosy Flat at the Center of ISTANBUL,Feride,Sisli,41.0613,28.99495,Entire home/apt,264,2,14,0.17,362
Bright and characterful in Galata!,Julia & Tarkan,Beyoglu,41.02625,28.97276,Entire home/apt,728,2,64,0.77,359
"Sunny Flat for Room Price, Taksim",Serkan,Sisli,41.045,28.9863,Entire home/apt,264,2,2,0.02,90
"Comfy, private room near subway",Ayla,Sisli,41.05636,28.99632,Private room,121,1,4,0.06,365
"Room minuet 2TRAM Street,Yusufpasha اتفضلوااهلاًبكم",Bãśmä,Fatih,41.01077,28.94512,Private room,90,2,150,1.73,83
Charming Delightful Studio@Centre 3,Fati,Beyoglu,41.02669,28.97594,Entire home/apt,148,2,141,1.63,365
Standard Suites,Emre,Kadikoy,40.99259,29.02534,Entire home/apt,227,1,26,0.81,276
Spacious Family Apt in Kadiköy,Emre,Kadikoy,40.99462,29.02552,Entire home/apt,385,1,8,0.28,91
1+1 65m2 Deluxe Suitler,Emre,Kadikoy,40.99295,29.02656,Entire home/apt,269,1,46,0.62,182
Terrace Bosphorus Sea View Taksim,Maria,Beyoglu,41.03392,28.98927,Entire home/apt,591,1,203,2.35,250
"Furnished luxury apartment, Galata",Zeynep,Beyoglu,41.02575,28.97364,Entire home/apt,417,3,39,0.47,346
Design chic serviced apt in Galata.,Zeynep,Beyoglu,41.02373,28.97418,Entire home/apt,417,3,22,0.27,264
Modern serviced flat in Galata,Zeynep,Beyoglu,41.02591,28.97401,Entire home/apt,475,3,45,0.55,357
Modern chic serviced apt in Galata,Zeynep,Beyoglu,41.02532,28.97303,Entire home/apt,417,2,41,0.49,346
"top location,bright & cozy 2bdr apt",Özge,Beyoglu,41.02841,28.97202,Entire home/apt,596,1,57,0.68,358
Cute room opening to garden in Moda,Asiye,Bahcelievler,41.00837,28.85343,Private room,158,5,5,0.06,365
Lovely Room at the heart of İSTANBL,Feride,Sisli,41.06208,28.99426,Private room,105,1,10,0.12,362
CENTRAL&SAFETY Location Bright Room,Feride,Sisli,41.06202,28.99549,Private room,105,2,58,0.7,362
Galata - Newly Furnished Flat 1,Bahadir,Beyoglu,41.02759,28.97133,Entire home/apt,654,3,1,0.02,365
2 bedr apart 5 mins from Airport ,Mehmet Emin,Bahcelievler,40.99144,28.84474,Entire home/apt,533,3,3,0.17,365
Zero km to City Center -- Friendly ,Esen,Sisli,41.05382,28.99028,Private room,116,2,35,0.42,365
Sweet Garden  House,Mehmet,Besiktas,41.05091,29.02262,Private room,84,3,1,0.01,365
Exclusivity in Istanbul Bosphorus View,Mert,Beyoglu,41.03655,28.99017,Entire home/apt,717,2,3,0.04,365
Exclusivity in Istanbul City View,Mert,Beyoglu,41.03789,28.99014,Entire home/apt,1192,2,1,0.01,365
Centrally Located Bright StudioApt1,Görkem,Beyoglu,41.0364,28.97666,Entire home/apt,411,1,5,0.06,365
lovely home with sea view,Akın,Kadikoy,40.98447,29.02221,Entire home/apt,264,2,11,0.25,363
Best Point Apartments&Suites,Best Point Hotel,Fatih,41.00315,28.97953,Private room,886,1,1,0.09,365
"Small,cozy apatment in the center",Füsun,Beyoglu,41.03527,28.99128,Entire home/apt,422,1,4,0.06,365
120m2 private apart Taxim.,Emre,Sisli,41.04099,28.98675,Entire home/apt,290,2,7,0.08,365
on Galata Roofs.  Super central istiklal avenue,Lino And Gioia,Beyoglu,41.03383,28.98168,Entire home/apt,258,2,18,0.31,323
Apartment in the Heart of the City2,ISlK,Beyoglu,41.03893,28.98201,Entire home/apt,190,2,86,1.54,332
Studio in the Heart of the City 1,ISlK,Beyoglu,41.03831,28.98349,Entire home/apt,195,2,130,2.22,351
"3 bedrooms, chic and central",Asli & Ali,Besiktas,41.0839,29.02777,Entire home/apt,527,2,31,0.42,362
Charming Delightful Studio@Centre 2,Fati,Beyoglu,41.02752,28.97705,Entire home/apt,116,2,116,1.38,273
"Invitation to Travel: Luxury, Quiet",Yves & Fatos,Beyoglu,41.03499,28.97238,Entire home/apt,564,7,11,0.14,0
Historic mansion center of Buyukada,Aysen,Adalar,40.87361,29.13289,Entire home/apt,564,2,20,0.25,364
{Berry} Istanbul Modern Concept - Suite,Güner - Berivan - Erdal,Beyoglu,41.03699,28.9761,Entire home/apt,185,2,123,1.48,345
"Bright flat, great view! Kadikoy",Adelaide And Ali,Kadikoy,40.99609,29.0278,Entire home/apt,385,3,65,0.78,300
Charming Delightful Studio@Centre 1,Fati,Beyoglu,41.02728,28.97705,Entire home/apt,158,2,66,0.79,360
Central Apt. in Popular Nisantaşı,Jülide,Sisli,41.0493,28.99618,Private room,290,3,1,0.01,365
Istanbul Postcard View (Asian Side),Baris,Uskudar,41.01502,29.01303,Entire home/apt,395,3,22,0.28,364
"Comfy Room, Perfect View & Rooftop in CIHANGIR",Hanife,Beyoglu,41.03003,28.98148,Private room,116,1,204,3.47,346
CasaLoBueno#1 Splendid Galata Tower,Doret & Izel,Beyoglu,41.0295,28.97351,Entire home/apt,406,3,57,0.69,346
Cozy Room A3 @Taksim Downtown,Kaboom Guest House,Beyoglu,41.03519,28.97177,Private room,148,2,7,0.09,330
Cute apartment in center of Beyoglu,Nahide,Beyoglu,41.03255,28.98032,Entire home/apt,295,3,51,0.62,288
Cozy Flat 1BR @Taksim Square,Aslinaz,Beyoglu,41.03666,28.98093,Entire home/apt,237,2,59,0.74,364
FURNISHED TRIPLEX TAKSIM.LANDLORD,Sevil,Beyoglu,41.0292,28.98104,Entire home/apt,279,2,49,0.6,365
2+1 istiklal street/taksim central,Sevil,Beyoglu,41.03174,28.97717,Entire home/apt,506,3,6,0.08,365
Rooms for rent in Nişantaşı Şişli,Sanem,Sisli,41.05485,28.99202,Private room,237,2,1,0.01,365
"Minutes walk to center, 2 BDRM Apt",Cheng,Beyoglu,41.03749,28.97505,Entire home/apt,158,5,33,0.48,0
Pasha,Mehmet Ali,Beyoglu,41.02871,28.97935,Entire home/apt,353,5,1,0.01,180
SALE !!!City 1 bed Luxury Residence,Cecille,Sisli,41.06024,28.99147,Entire home/apt,295,1,22,0.29,365
{Berry} Taksim Authentic Concept - Suite,Güner - Berivan - Erdal,Beyoglu,41.03621,28.97592,Entire home/apt,185,2,45,0.55,359
"Sunny,Luxury,Comfy Private Room @ Perfect Location",Oge,Sisli,41.05509,28.98853,Private room,58,4,14,0.18,354
fairly furnished flat @ city center,Atila,Sisli,41.05274,28.99108,Entire home/apt,332,2,6,0.07,323
Room in Central Istanbul / Cihangir,Yesim,Beyoglu,41.03044,28.98298,Private room,148,1,18,0.22,365
Old City Sultanahmet Apart Istanbul,Adar,Fatih,41.00456,28.96857,Entire home/apt,232,3,110,1.35,360
Near the bosphorus,Omer,Besiktas,41.06678,29.0418,Private room,185,2,23,0.3,343
"Couple friendly, Cute Roof w terrace in Beyoglu",Mehmet,Beyoglu,41.03122,28.97603,Entire home/apt,269,2,21,0.44,241
ULTRA LUXE RESIDENCE WITH FREE SWIM.POOL ETC,Angie,Basaksehir,41.0718,28.67921,Entire home/apt,179,6,12,0.28,261
"comfy room in Taksim, Istanbul",Özgür,Sisli,41.04418,28.98344,Private room,63,2,3,0.07,83
3+1 istiklal street from landlord,Sevil,Beyoglu,41.03509,28.98145,Entire home/apt,316,2,19,0.25,365
Duplex Penthouse Central Located,Ozan,Sisli,41.05794,28.99464,Private room,121,1,2,0.02,365
The best room for young people,Berkan,Beyoglu,41.03667,28.98415,Private room,58,1,32,0.4,140
Flats in Taksim 2 min. to square #2,Vedat Öz,Bagcilar,41.03183,28.84544,Entire home/apt,179,2,2,0.03,365
decent price/quality balance in Ist,Necip,Fatih,41.01667,28.9303,Private room,58,20,9,0.11,180
Nakkas Apart,Nakkas,Fatih,41.0056,28.9704,Entire home/apt,649,1,3,0.04,365
Very central place-small room for 1,Biray Anil,Sisli,41.06262,28.984,Private room,58,1,42,0.52,354
"Elegant, bright, lovely sea views in Galata!",Julia & Tarkan,Beyoglu,41.02618,28.9761,Entire home/apt,939,2,26,0.58,345
"Cosy charm, fabulous terrace views in Galata!",Julia & Tarkan,Beyoglu,41.02496,28.97311,Entire home/apt,1102,2,48,0.6,328
"Cosy with frescoes, terrace views in Galata!",Julia & Tarkan,Beyoglu,41.02815,28.97333,Entire home/apt,717,2,59,0.73,335
Stylish gem with amazing charm and nightlife buzz!,Julia & Tarkan,Beyoglu,41.03567,28.97792,Entire home/apt,548,2,118,1.51,344
"135 sqm. at Galata Tower, Beyoğlu",Sedat,Beyoglu,41.02747,28.97486,Entire home/apt,591,3,95,1.26,260
Spacious room in 2br renovated flat,Pinar,Beyoglu,41.03741,28.97644,Private room,105,3,12,0.2,364
"A Lovely, Modern, 1bd Apt in Center",Pinar,Beyoglu,41.03703,28.97471,Entire home/apt,206,2,44,0.54,260
Great flat in central Istanbul,Yilmaz,Beyoglu,41.03102,28.98196,Entire home/apt,453,15,7,0.09,358
Very Central Room With Sea View,Hexagram,Beyoglu,41.03068,28.98372,Private room,290,1,47,0.61,365
"Sunny, comfy flat with big terrace, Cihangir",Basak,Beyoglu,41.02999,28.97992,Entire home/apt,337,2,5,0.06,0
Beautiful Triplex in City Center,Figen,Besiktas,41.07538,29.03549,Entire home/apt,475,5,13,0.18,346
Spacious room in flat with terrace,Atilla,Besiktas,41.04457,28.99989,Private room,58,7,10,0.15,272
Cozy room in 2br renovated flat,Pinar,Beyoglu,41.03863,28.97695,Private room,105,3,17,0.25,338
3C-Clean Comfortable and Cheap Room,Mutlu,Buyukcekmece,41.00975,28.5457,Private room,105,1,1,0.32,364
Historical Istanbul House @ Taksim ,Alexis,Sisli,41.04251,28.98788,Entire home/apt,243,3,246,3.08,258
A duplex @ heart of shop & dine,Ozlem,Sisli,41.05352,28.99886,Entire home/apt,654,2,1,0.03,232
MODERN FLAT CENTER of ISTANBUL,Volkan,Sisli,41.05452,28.98674,Entire home/apt,237,5,18,0.23,364
Blue Suites by V Sultanahmet Deluxe,Volkan,Fatih,41.00507,28.98081,Entire home/apt,717,2,7,0.1,0
"Fully furnished penthouse, Beyoglu",Fatma,Beyoglu,41.03541,28.97637,Entire home/apt,132,3,52,0.83,284
Terraced Ottoman Villa,Piril,Sariyer,41.16389,29.04211,Private room,891,5,2,0.03,365
Designer Penthouse in Trendy Bebek,Bora,Besiktas,41.08333,29.04047,Entire home/apt,1318,3,10,0.13,360
simple&clean room with amazin view in galata,Umut,Beyoglu,41.02741,28.9765,Private room,148,7,16,0.2,62
Bright room with balcony in 2b flat,Pinar,Beyoglu,41.03864,28.97669,Private room,105,3,16,0.23,262
"LARGE, SAFE & COMFORTABLE FLAT",Seyda Mari,Sisli,41.05606,28.9832,Entire home/apt,316,1,117,1.48,306
Terraced Ottoman Villa - Room 1,Piril,Sariyer,41.16357,29.04244,Private room,359,5,2,0.03,365
Terraced Ottoman Villa - Room 3,Piril,Sariyer,41.16257,29.04247,Private room,237,5,1,0.01,365
"CENTRAL PART OF ISTANBUL,TAXIM ",Cerith,Sisli,41.04295,28.98281,Private room,158,1,25,0.32,365
{Berry} Turkish Delight Concept - Suite,Güner - Berivan - Erdal,Beyoglu,41.03577,28.9716,Entire home/apt,185,2,78,0.97,357
2 Bedroom Apt. @ Sisli / Istanbul,Taceddin,Sisli,41.05131,28.9875,Entire home/apt,596,7,1,0.13,119
Room in Historic Flat by Bosphorus Coast,Kaan,Sariyer,41.12266,29.06917,Private room,216,4,4,0.07,148
amazing room with bosphorus view in galata,Umut,Beyoglu,41.02508,28.97789,Private room,148,7,11,0.14,62
Cosy Double Room with Huge Terrace!,Başak,Besiktas,41.05087,29.00637,Private room,79,4,34,0.43,202
{Berry} Sultan's Dream Concept - Suite,Güner - Berivan - Erdal,Beyoglu,41.03572,28.97407,Entire home/apt,185,2,42,0.53,364
COZY MODERN FLAT AKMERKEZ ULUS,Julienne,Besiktas,41.07558,29.02981,Entire home/apt,522,3,11,0.2,343
Double room in Avenue Bagdat Apart,Pelin,Kadikoy,40.97637,29.06653,Private room,211,7,6,0.08,349
"Bosphorus View, Room in Pera Taksim",Nuri Harun,Beyoglu,41.0305,28.97325,Private room,47,3,5,0.06,0
Student Flats Student Discounts,Thyme,Kadikoy,40.99429,29.02797,Private room,53,2,4,0.05,256
3BR APARTMENT W/SEA VIEW IN SULTANAHMET OLD CITY,Süleyman & Taner,Fatih,41.00626,28.97925,Entire home/apt,206,2,77,0.97,354
At the foot of Bosphorus Bridge,Resul,Besiktas,41.04851,29.02619,Private room,84,1,7,0.09,365
Blue Suites by V 1 Sultanahmet,Volkan,Fatih,41.00685,28.98025,Entire home/apt,417,1,52,0.73,323
Blue Suites by V 2 Sultanahmet,Volkan,Fatih,41.00512,28.97901,Entire home/apt,417,1,24,0.33,321
Luxury house with a private garden,Pürün,Besiktas,41.04683,29.00243,Entire home/apt,316,1,103,1.3,79
TAKSİM FLAT  FOR SHORT OR LONG TERM RENTİNG,Faruk,Beyoglu,41.03626,28.97344,Entire home/apt,211,2,171,2.42,279
City Centre Urban Flat,Burçin,Sisli,41.06254,28.98454,Entire home/apt,121,3,10,0.66,323
