name,host_name,neighbourhood,latitude,longitude,room_type,price,minimum_nights,number_of_reviews,reviews_per_month,availability_365,,
Close to the Sabiha Gokcen Airport,Yucelen,Tuzla,40.856,29.29802,Private room,151,1,0,,365,,
Duplex Suite in Taksim (2 Terraces),Mert,Beyoglu,41.03801,28.98226,Entire home/apt,425,2,2,0.03,163,,
#1  HYGIENIC 2! BATHROOMS FLAT FOR 1 TO 5 PERSON,Farouq,Fatih,41.0039,28.97091,Entire home/apt,398,1,93,1.46,351,,
Basement Suite in Sultanahmet #5,Savas,Fatih,41.00473,28.98151,Private room,192,1,152,1.99,364,,
Large Family House Near Blue Mosque,Fuat,Fatih,41.00699,28.97036,Entire home/apt,686,1,1,0.09,365,,
LUXURY SEA VIEW APT WITH BALCONY,Maria,Beyoglu,41.02941,28.98649,Entire home/apt,1919,3,76,0.99,0,,
COZY FLAT IN ISTANBUL TAKSIM VİEW,Merve,Sisli,41.04223,28.98632,Entire home/apt,295,3,0,,365,,
Room in Kadikoy centre,Zeren,Kadikoy,40.99553,29.0302,Private room,171,5,0,,364,,
Modern decoration in Taksim,Damon,Sisli,41.04278,28.98459,Entire home/apt,617,5,0,,365,,
Modern decoration in Taksim 2,Damon,Sisli,41.04246,28.98481,Entire home/apt,768,5,0,,365,,
Quiet Cozy Flat at Center Besiktas,Mehmet,Besiktas,41.04451,29.00285,Entire home/apt,233,1,94,1.23,365,,
Detached House with Secluded Yard,T,Atasehir,40.99412,29.07828,Entire home/apt,151,3,15,0.22,0,,
"Room:23: Clean, Cheap, Peacefull and Central",Omer,Sisli,41.0629,28.99461,Private room,130,5,38,0.58,365,,
rahat ve konforlu bır ev arıyorsanı,Metın,Bagcilar,41.02188,28.84235,Private room,309,1,0,,365,,
"Nice,quiet room in Cihangir,Taksim",Bilge & Barbaros,Beyoglu,41.02879,28.98119,Private room,62,1,15,0.22,0,,
The center of Taksim!!,Emre,Beyoglu,41.03269,28.98363,Entire home/apt,754,1,0,,365,,
Studio Suite in Taksim,Mert,Beyoglu,41.03731,28.98274,Entire home/apt,212,1,2,0.03,0,,
Private Room in City Center - White,Yunus Emre,Beyoglu,41.03165,28.98508,Private room,171,5,10,0.16,358,,
Sultan's Nest,Isaiah,Sisli,41.05516,28.98569,Private room,343,2,0,,363,,
Renovated Central Istanbul Flat,Orhan,Besiktas,41.04642,29.01133,Entire home/apt,233,7,0,,69,,
"In the heart of Taksim, Luxury Room",Ali,Beyoglu,41.0348,28.98103,Private room,542,1,0,,365,,
Cody Flat - Perfect Location,Hale,Sisli,41.04871,28.98129,Private room,171,2,0,,0,,
Istanbul Property Management - Taksim 87 Duplex,Istanbul Property Management - Elys,Sisli,41.04339,28.98295,Entire home/apt,651,2,31,0.40,365,,
Near the new Istanbul airport and see side.,Ertug,Bakirkoy,40.96165,28.83403,Private room,151,1,11,0.16,365,,
Sehir merkez taksim yuruyerek10dk,Aret,Sisli,41.0525,28.98262,Private room,158,1,0,,365,,
"nice location, cute room",Hayrettin,Sisli,41.06883,28.99679,Private room,309,1,0,,0,,
Amazing Historical House in the Heart of Galata,Cem,Beyoglu,41.0276,28.97339,Entire home/apt,617,3,7,0.59,365,,
Cosy and Quiet  Apartment in Taksim,Fevziye,Sisli,41.04566,28.98472,Entire home/apt,165,5,64,0.88,71,,
ROOM FOR RENTAL IN CIHANGIR/BEYOGLU,Mumin,Beyoglu,41.0293,28.98004,Private room,274,1,0,,0,,
Cozy and central flat in Istanbul,Kivilcim,Besiktas,41.04909,29.00648,Entire home/apt,377,3,0,,365,,
Private room in the city center,John,Beyoglu,41.03568,28.97464,Private room,62,2,6,0.08,1,,
"Lovely,Cheap Flat-Balat (wholeflat)",Noa,Fatih,41.03394,28.94539,Entire home/apt,123,1,55,0.72,365,,
Great Room In Perfect Location,"Merve, Arif, Emre",Beyoglu,41.03816,28.97535,Private room,137,1,35,0.47,364,,
 Maksem SuitesAparts İstanbul,Eyup,Beyoglu,41.03732,28.98258,Private room,651,1,0,,365,,
Stylish Room in The Center of City,Ozan,Besiktas,41.05356,29.00782,Entire home/apt,576,1,1,0.06,365,,
"Quiet + cosy, right in the centre !",Tareq,Beyoglu,41.02974,28.98024,Entire home/apt,425,8,24,0.32,365,,
Stüdio Apr.2  with garden + kitchen,Reşit,Maltepe,40.92881,29.14063,Entire home/apt,165,1,88,1.40,356,,
A Studio Apr. with garden + Kithen,Reşit,Maltepe,40.92731,29.14164,Entire home/apt,165,1,72,0.96,365,,
Real Istanbul Living,Cem,Sisli,41.05067,28.98574,Private room,343,1,0,,365,,
Comfort .Great locatıon. 2 BD with balcony.,Lyudmyla,Beyoglu,41.03485,28.98763,Entire home/apt,350,4,7,0.10,362,,
Cozy Room in Beyoglu İstanbul,Sema,Beyoglu,41.03531,28.97532,Private room,75,3,15,0.25,364,,
Bosphorus View. Private terrace. 2 BD.,Lyudmyla,Beyoglu,41.03308,28.98743,Entire home/apt,528,4,35,0.48,362,,
SWEET COMFORTABLE HOME IN THE HEART OF ISTANBUL!,Ugur,Beyoglu,41.03768,28.98298,Entire home/apt,192,2,32,0.42,363,,
3 odali deniz manzarali muhtesem ,Unal,Sariyer,41.16775,29.02944,Private room,69,1,0,,365,,
private rooms ortaköy,Duygu,Besiktas,41.05406,29.02143,Private room,233,3,8,0.11,365,,
City Apartment in Residential Area,Seref,Besiktas,41.0711,29.02367,Entire home/apt,1152,1,0,,0,,
8 min walk to taksim. Safety area! ,Kemal,Sisli,41.044,28.98536,Private room,192,1,0,,365,,
Dream | Green Forest Concept (Terrace Suite),Güner-Berivan,Beyoglu,41.03758,28.97485,Entire home/apt,171,2,62,0.82,363,,
Sunshine | Purple Garden Concept (Terrace Suite),Güner-Berivan,Beyoglu,41.03555,28.97318,Entire home/apt,226,2,64,0.83,2,,
Sea View terrace Duplex,Michel,Beyoglu,41.03396,28.97387,Entire home/apt,384,5,53,0.76,328,,
Sunshine | Red Life Concept (Suite),Güner-Berivan,Beyoglu,41.03555,28.97318,Entire home/apt,206,2,54,0.72,350,,
Sunshine | Orange Sunset Concept (Terrace Suite),Güner-Berivan,Beyoglu,41.03556,28.97317,Entire home/apt,226,2,106,1.38,362,,
Sunshine | Green Modern Concept (Terrace Suite),Güner-Berivan,Beyoglu,41.03555,28.97319,Entire home/apt,206,2,83,1.09,351,,
Paradise | Blue Butterfly Concept (2Bedrm+1Lvngrm),Güner-Berivan,Beyoglu,41.03595,28.97281,Entire home/apt,247,2,98,1.27,365,,
Dream | Blue Night Concept (Suite),Güner-Berivan,Beyoglu,41.03758,28.97485,Entire home/apt,171,2,62,0.80,365,,
Dream | Purple Tale Concept (Suite),Güner-Berivan,Beyoglu,41.03758,28.97485,Entire home/apt,171,2,81,1.07,329,,
Paradise | Pink Bird Concept (2Bedrm+1Lvngrm),Güner-Berivan,Beyoglu,41.03595,28.97281,Entire home/apt,247,2,86,1.12,355,,
Large Room with a Large Garden,Can,Sariyer,41.0864,29.05423,Private room,192,2,10,0.14,364,,
Cosy Flat With Bosphorus View,Angelina,Beyoglu,41.03256,28.98643,Entire home/apt,459,3,26,0.35,365,,
Pera | Deep Maze Concept (Second Basement),Güner-Berivan,Beyoglu,41.03721,28.97439,Entire home/apt,617,2,18,0.24,338,,
Exclusive room in secured site,Ozan,Esenyurt,41.01783,28.6484,Private room,274,1,1,0.01,364,,
COMFORTABLE DOUBLE ROOM,Malih,Beyoglu,41.03627,28.98079,Private room,75,1,0,,365,,
SMALL COSY ROOM IN KADIKÖY,Altay,Uskudar,41.01349,29.03691,Private room,329,1,1,0.03,0,,
Cozy Double Room Flat in Taksim 2,Volkan,Beyoglu,41.03674,28.97523,Entire home/apt,192,2,96,1.26,365,,
the heart of Istanbul ,Utku,Beykoz,41.08425,29.06901,Private room,82,1,0,,180,,
Luxury flat with garden in Cihangir,Cem,Beyoglu,41.03005,28.98401,Private room,480,1,0,,365,,
Special room in Sancaktepe,Jasour Istanbul 2,Cekmekoy,41.02888,29.24287,Private room,151,2,1,0.03,365,,
Comfortable and Clean Apartment in the City Center,Burcu,Sisli,41.0487,28.98352,Entire home/apt,343,1,8,0.12,181,,
Full furnished Cosy Flat in Taksim,Deniz,Beyoglu,41.03721,28.9829,Entire home/apt,117,12,38,0.51,2,,
Party House / Daily Rental,Perya,Uskudar,41.04499,29.05566,Entire home/apt,2797,1,23,0.53,1,,
Newly-renovated apartment-studio,Lindsay,Fatih,41.02991,28.94779,Entire home/apt,309,2,69,0.89,365,,
Private Room in a Flat with View,Emre,Besiktas,41.04564,29.00326,Private room,117,2,4,0.05,1,,
Perfect Location.Prince İsland View,Beykan,Maltepe,40.94739,29.10757,Private room,254,1,0,,365,,
real lovely cozy greek beyoğlu apt ,Didar,Beyoglu,41.03307,28.97453,Entire home/apt,308,2,78,1.04,1,,
Taksim beyoğlu istanbul 6bed Female,Talat,Sisli,41.04208,28.98326,Shared room,69,1,16,0.21,365,,
One İstanbul Suadiye 2+1 (70m2),One Istanbul,Kadikoy,40.95854,29.08073,Private room,2311,1,0,,365,,
rent apartments istanbul,Viktoriya,Beyoglu,41.02916,28.97419,Entire home/apt,617,1,0,,0,,
High ceiling flat 1+1 in Galata,Deniz,Beyoglu,41.02705,28.97634,Entire home/apt,308,3,0,,0,,
Best view designer cihangir flat,Ilgi,Beyoglu,41.03562,28.98398,Entire home/apt,768,1,40,0.52,363,,
BEST PRICE & GREAT LOCATION @TAKSİM,Mehmet,Beyoglu,41.03747,28.97599,Entire home/apt,377,4,24,0.32,217,,
***Fully furnished beatiful room!!,Nevra,Besiktas,41.06455,29.00425,Private room,69,4,0,,365,,
cozy flat in the center of taksim,Züleyha,Beyoglu,41.03333,28.97899,Private room,384,1,22,0.29,365,,
Apartment for rent in Kadıkoy/Ist,Ay,Kadikoy,40.99485,29.03082,Entire home/apt,75,5,6,0.08,0,,
Brand new building with a view,Oz,Atasehir,40.98847,29.1136,Private room,151,1,0,,365,,
Stylish&Cozy apartment in Beyoglu,Irem,Beyoglu,41.03098,28.97449,Entire home/apt,432,2,44,0.63,0,,
Ghettoroom,Yasin,Uskudar,41.03376,29.05446,Private room,185,1,0,,365,,
Hallo freund,Mesut,Kadikoy,40.99081,29.04286,Private room,3847,1,0,,365,,
FUAREV LUX FLAT NEAR AIRPORT 84M2,Fuarev,Kucukcekmece,41.03554,28.77022,Entire home/apt,453,2,2,0.03,365,,
Beyoglu Suit with Double Terraces,Calanthe,Beyoglu,41.04065,28.98107,Private room,405,2,0,,0,,
Suen Apart,Mehmet Fasih,Beyoglu,41.03038,28.97933,Entire home/apt,542,1,0,,364,,
One-Bedroom Apartment with Sofa Bed,Amida HOUSE,Fatih,41.01232,28.98301,Private room,768,1,5,0.07,365,,
Şişli Osmanbey apart daire 2+1,Taceddin,Sisli,41.0517,28.98778,Entire home/apt,384,7,0,,365,,
Sultanahmet Sunny Apartment with sea view,Nahide,Fatih,41.00638,28.97162,Entire home/apt,692,3,124,1.97,337,,
Apartment ( 2 adults ),Amida HOUSE,Fatih,41.00407,28.97901,Entire home/apt,309,1,11,0.18,365,,
Cozy Studio in Taksim,Volkan,Beyoglu,41.03563,28.97476,Entire home/apt,192,2,80,1.05,350,,
Central Amazing Bosphorus view!,Nartere At Gm,Beyoglu,41.03363,28.99135,Entire home/apt,3846,1,6,0.08,365,,
Apartment - Near Sultanahmed 80 sqm,Enes,Fatih,41.00401,28.96181,Entire home/apt,411,2,83,1.11,357,,
Warm family home,Nec,Sariyer,41.12168,29.03355,Private room,151,2,0,,365,,
Tastefully Designed Historical Top Floor w Seaview,Demir,Kadikoy,40.99513,29.02452,Entire home/apt,418,2,45,1.88,364,,
FLATS FOR RENT İN TAKSİM SQUARE(5),Deniz,Beyoglu,41.03808,28.98154,Entire home/apt,199,1,2,0.05,365,,
Penthouse Suite with a Magnicifant Bosphorus View,Güven,Beyoglu,41.02706,28.98102,Entire home/apt,309,2,0,,356,,
Economical & well located apartment,Özden,Fatih,41.01381,28.93471,Private room,151,1,21,0.28,365,,
Lovely apartment with easy access,Asuman,Kadikoy,40.99559,29.02534,Entire home/apt,240,3,2,0.03,358,,
Home sweet home :),Ozan,Uskudar,41.01254,29.05694,Private room,103,1,0,,365,,
Cosy house at the city center,Elif,Beyoglu,41.03355,28.98725,Entire home/apt,336,3,13,0.56,70,,
elegant flat in central Istanbul,Yücel,Sisli,41.05076,28.99722,Entire home/apt,233,3,1,0.01,0,,
"Woohooo sweet, colored, cosy room!",Betül,Besiktas,41.04731,28.99951,Private room,137,1,3,0.04,365,,
Nice Flat İn Cihangir,Sernaz,Beyoglu,41.0293,28.98113,Entire home/apt,309,2,0,,365,,
Beautiful House Top Floor Central Sisli,Begum,Sisli,41.06301,28.98875,Private room,309,1,0,,365,,
Luxury Suite Appartement in Galata!,Tufan,Beyoglu,41.02775,28.97433,Entire home/apt,926,1,0,,365,,
Sweet Flat,Eda,Kagithane,41.0892,28.98092,Private room,137,1,2,0.03,358,,
,Ogulcan,Besiktas,41.08341,29.03731,Entire home/apt,980,4,0,,362,,
1BEDR 1BATH 8 minute walk historical area 4 adult,Cesim,Fatih,41.00567,28.97172,Entire home/apt,377,2,3,0.21,365,,
1+1 Economic historical area 2 adult Garden floor,Cesim,Fatih,41.00512,28.97136,Entire home/apt,336,3,18,0.32,365,,
room at akaretler - besiktas,Sinem,Besiktas,41.04194,29.00049,Private room,384,1,0,,365,,
Room for rent in Mecidiyekoy,Anıl Can,Sisli,41.07183,28.99964,Private room,82,1,0,,1,,
FLATS FOR RENT İN TAKSİM SQUARE(4),Deniz,Beyoglu,41.03826,28.9847,Entire home/apt,199,1,1,0.02,365,,
FLATS FOR RENT İN TAKSİM SQUARE(3),Deniz,Beyoglu,41.03772,28.98614,Entire home/apt,199,1,9,0.14,365,,
FLATS FOR RENT İN TAKSİM SQUARE(2),Deniz,Beyoglu,41.03763,28.98632,Entire home/apt,199,1,3,0.04,180,,
FLATS FOR RENT İN TAKSİM SQUARE(7),Deniz,Beyoglu,41.03878,28.98357,Entire home/apt,302,1,3,0.04,365,,
Bosphorus and Maiden's tower,Burak,Uskudar,41.02391,29.00821,Entire home/apt,843,1,0,,365,,
Cozy Double Room Flat in Taksim,Volkan,Beyoglu,41.03577,28.97401,Entire home/apt,233,2,110,1.46,365,,
Bright Spacious 2 Bedroom Apartment,Basak,Besiktas,41.04629,29.00134,Entire home/apt,891,1,7,0.09,0,,
inci's house,İnci,Sisli,41.06046,28.99413,Entire home/apt,75,4,0,,180,,
A newly decorated central house ,Duygu,Sisli,41.06256,28.99687,Entire home/apt,542,1,0,,365,,
Fancy flat in the center,Duygu,Sisli,41.06334,28.99893,Entire home/apt,459,10,14,0.20,362,,
"cozy city scape, Istanbul.",Berta,Besiktas,41.04375,28.99822,Entire home/apt,768,3,0,,365,,
"A Nice,Friendly Room in Besiktaş",Erhan,Besiktas,41.05589,29.00413,Private room,89,1,0,,365,,
Nisantasi - Central located flat/ Tesvikiye,Ayca,Besiktas,41.04956,28.99852,Entire home/apt,199,5,7,0.11,363,,
Loft with beautiful views,Massimo,Beyoglu,41.03868,28.97564,Entire home/apt,542,3,0,,365,,
Brand new suite with new furniture,Ozlem,Bahcelievler,41.01052,28.81288,Entire home/apt,549,5,2,0.03,363,,
,Emir Rauf,Kadikoy,40.96709,29.07212,Private room,343,1,0,,0,,
Cosy 1+1 Studio Apartment in Taksim (Renovated),Yakup & Tayfun,Beyoglu,41.03692,28.98487,Entire home/apt,199,4,90,1.28,180,,
TAKSIM/CIHANGIR Funished 1-BED ,Nevhayat,Beyoglu,41.03407,28.98164,Entire home/apt,473,1,1,0.01,365,,
NEVİZADE 'DE YENİLENMİŞ ULTRA LUX 2,Bora,Beyoglu,41.03553,28.97816,Entire home/apt,686,1,0,,365,,
Peaceful&Central Room in Ortakoy,Ilgin,Besiktas,41.05226,29.02734,Private room,165,5,0,,365,,
Home at Boğazkesen Street,Özlem,Beyoglu,41.02915,28.97897,Private room,240,2,0,,365,,
Double Deluxe Suite Sultanahmet,Bedirhan,Fatih,41.00403,28.96954,Entire home/apt,377,1,169,2.26,361,,
Triple Deluxe Suite Sultanahmet,Bedirhan,Fatih,41.00405,28.96788,Entire home/apt,377,1,123,1.80,350,,
4 Pax Deluxe  Suite Sultanahmet,Bedirhan,Fatih,41.00555,28.96817,Entire home/apt,453,1,119,1.67,364,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX,Bora,Beyoglu,41.03638,28.97826,Entire home/apt,686,1,0,,365,,
İstanbul Taksim Stylish 2 Bedroom,Emre,Beyoglu,41.03714,28.98409,Entire home/apt,343,3,120,1.59,359,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 3,Bora,Beyoglu,41.03525,28.97791,Entire home/apt,480,1,0,,365,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 4,Bora,Beyoglu,41.03684,28.97859,Entire home/apt,480,1,0,,365,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 5,Bora,Beyoglu,41.0369,28.98015,Entire home/apt,480,1,0,,365,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 6,Bora,Beyoglu,41.03651,28.97811,Entire home/apt,480,1,0,,365,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 7,Bora,Beyoglu,41.03697,28.97808,Entire home/apt,480,1,0,,365,,
NEVİZADE'DE YENİLENMİŞ ULTRA LUX 8,Bora,Beyoglu,41.03542,28.97976,Entire home/apt,480,1,0,,365,,
Peaceful Private Room in Galata,Besana,Beyoglu,41.02855,28.97553,Private room,309,2,10,0.13,0,,
Large Room&Central in Kadikoy,Uğur,Kadikoy,40.98803,29.03198,Private room,82,3,19,0.99,363,,
Historical Room in Maison@Cihangir,Idil,Beyoglu,41.03119,28.98612,Entire home/apt,350,3,0,,362,,
Fresh Air in the Forest,Anthony,Beykoz,41.06126,29.16853,Private room,75,2,0,,89,,
cozy flat in the center of taksim/2,Züleyha,Beyoglu,41.03137,28.97822,Private room,384,1,2,0.03,365,,
New Moon Flats For Rent,Mehmet Ali,Fatih,41.004,28.97238,Entire home/apt,1152,3,0,,365,,
X Flats - One Bedroom Apartment,Xflats,Beyoglu,41.02815,28.97282,Entire home/apt,384,1,9,0.12,179,,
X Flats - Two Bedroom Apartment,Xflats,Beyoglu,41.02827,28.97373,Entire home/apt,384,1,13,0.21,178,,
Galata and Bosphorus View Luxurious,Burak,Beyoglu,41.02442,28.97393,Entire home/apt,405,180,14,0.20,174,,
SISLI RESIDENCE AVENUE#9,Ali,Sisli,41.06065,28.98529,Entire home/apt,315,28,24,0.33,271,,
istanbul Taksim Green House Hostel and Apart,Talat,Sisli,41.04167,28.98642,Entire home/apt,528,1,1,0.01,365,,
KADIKÖY MERKEZ,Sema,Kadikoy,40.99619,29.02983,Private room,192,1,1,0.01,365,,
SISLI RESIDENCE COURTYARD #10,Ali,Sisli,41.06153,28.98459,Entire home/apt,322,21,14,0.19,270,,
"Luxury renovated, Proper Flat- Beyoglu 1",Mersin,Beyoglu,41.02681,28.97879,Entire home/apt,295,4,37,0.49,365,,
One time apt,Alexandra,Eyup,41.05141,28.91751,Private room,254,1,0,,0,,
2+1 luxury apart in Taksim,İbrahim,Beyoglu,41.0353,28.98611,Entire home/apt,809,1,0,,365,,
In the centre with Bosphorus view!,Alihan,Beyoglu,41.03547,28.9916,Private room,425,1,0,,365,,
Airy apt. in Cihangir with a view,Seyma,Beyoglu,41.03134,28.9811,Entire home/apt,549,1,4,0.05,0,,
Flat in a renovated historical building  at Galata,Cihangir,Beyoglu,41.02553,28.97482,Entire home/apt,425,1,15,1.65,179,,
COMPLIMENTARY WINE & CHILD FRIENDLY,April,Sisli,41.05703,28.98695,Entire home/apt,274,2,20,0.27,0,,
"Cozy Flat, Beautiful Area",Aysun Efruz,Kadikoy,40.98371,29.02385,Private room,309,1,0,,365,,
Nisantasi City,Sercan,Sisli,41.05074,28.99195,Private room,768,1,0,,365,,
3+1 BIZIMKENT EMLAK BANKASI EVİ,Gökhan,Beylikduzu,41.0104,28.64165,Entire home/apt,617,1,0,,365,,
Fantastic apartment in Taksim with amazing view,Selcuk,Beyoglu,41.03485,28.98912,Entire home/apt,686,1,0,,365,,
Modern Cozy Flat Harbiye / Taksim,Ozan,Sisli,41.0454,28.9843,Entire home/apt,343,2,7,0.10,362,,
Studio Flat at Taksim Istanbul,Ozgur,Beyoglu,41.03641,28.97355,Entire home/apt,459,3,0,,365,,
Cozy room in duplex flat in Beşiktaş for dailyrent,Dilek,Besiktas,41.04704,28.99953,Private room,103,3,2,0.03,364,,
Great Apartment w Bosphorus View,Eren,Beyoglu,41.0315,28.98837,Entire home/apt,535,3,15,0.21,31,,
besiktas private location,Erdem,Besiktas,41.04586,29.01342,Shared room,144,1,0,,362,,
4 Studio Flats in Old City (4),Cetin,Fatih,41.0073,28.96541,Entire home/apt,192,2,31,0.42,364,,
Room in centrum  Istanbul/Galata ,Hümeyra,Beyoglu,41.02856,28.97742,Private room,274,5,0,,2,,
Amazing Bosphorus View in Cihangir,Gözde Mimiko,Beyoglu,41.03241,28.98584,Entire home/apt,254,8,69,0.92,27,,
"HİSTORİC , AMAZİNG AND SAFE...",Çağlar,Uskudar,41.02616,29.02271,Private room,151,2,0,,365,,
Cozy room with a view in Taksim,Bayram,Beyoglu,41.03226,28.98098,Private room,48,1,0,,0,,
Welcome to my home in Istanbul!,Shevkiye,Kagithane,41.08517,29.00288,Private room,192,3,1,0.02,365,,
CHIC & COMFY  very central  galata tower,Burcu,Beyoglu,41.02436,28.97498,Entire home/apt,288,7,15,0.21,358,,
istanbul taksim  beyoğlu,Şule,Beyoglu,41.03217,28.97165,Private room,75,1,1,0.05,365,,
Lovely Studio in Central Istanbul,Ayda B.,Besiktas,41.05111,29.00668,Entire home/apt,206,2,51,0.68,168,,
ECONOMIC DOUBLE ROOM,Malih,Beyoglu,41.03632,28.98157,Private room,75,1,0,,365,,
NICE DOUBLE ROOM IN TAKSIM,Malih,Beyoglu,41.03677,28.98092,Private room,103,1,0,,365,,
ECONOMIC DOUBLE ROOM IN TAKSIM,Malih,Beyoglu,41.03684,28.98154,Private room,75,1,0,,365,,
COZY DOUBLE ROOM IN TAKSIM,Malih,Beyoglu,41.03681,28.98147,Private room,103,1,0,,365,,
Historical Penthouse ,Akif,Beyoglu,41.03527,28.97604,Private room,233,1,0,,365,,
COMFORTABLE TRIPLE ROOM IN TAKSIM,Malih,Beyoglu,41.03698,28.98154,Private room,137,1,0,,365,,
"İstiklal Street, heart of the city ! Historical !",Baturalp,Beyoglu,41.02762,28.97525,Private room,151,1,7,0.62,364,,
central flat with a great view,Zeynep,Beyoglu,41.03165,28.97728,Entire home/apt,240,3,73,1.92,22,,
DESIGNED STUDIO WITH AMAZING VIEW,Fatih,Beyoglu,41.0296,28.98491,Private room,501,2,0,,365,,
"Private Bath Room, close to Blue Mosque.",Ramazan,Fatih,41.00469,28.97012,Private room,192,2,16,1.64,1,,
Bakırköy Rooftop 40 m2 Living Room & Bedroom,Orcun,Bakirkoy,40.98701,28.87871,Private room,171,1,3,0.13,365,,
Sea and house,Murat,Fatih,41.00278,28.93906,Private room,206,1,0,,364,,
"Very Close to Kadıkoy,Bostanci",Okan,Maltepe,40.95,29.12729,Private room,75,1,0,,364,,
"Home Office ""on"" the famous Baghdad Avenue Kadıköy",Ozgur,Kadikoy,40.96881,29.06767,Entire home/apt,459,28,1,0.02,330,,
Nevizade de şık daire,Gül,Beyoglu,41.03442,28.97636,Entire home/apt,542,1,0,,365,,
Comfortable Room Near Underground,Ozan,Atasehir,41.00049,29.07635,Private room,603,1,0,,1,,
Room at Ulus İstanbul,Nilay,Besiktas,41.06956,29.02735,Private room,103,1,1,0.02,365,,
GALATA AREA AUTHENTİC APART,Hatice,Beyoglu,41.02555,28.97478,Entire home/apt,192,3,130,2.18,365,,
İstiklal caddesine yürüyerek 2 dk ,Nuray,Beyoglu,41.03455,28.98024,Private room,761,1,0,,365,,
Istanbul Irini Seaview House,Anne Dumortier,Fatih,41.00568,28.98063,Entire home/apt,1536,2,73,0.98,352,,
ISTANBUL/ TAKSIM FLATMATE,Esma,Beyoglu,41.03434,28.97206,Private room,384,1,0,,365,,
kadın misafire özel oda,Şükran,Besiktas,41.04831,28.99847,Private room,27,2,0,,0,,
1 bedroom apartment near Taksim,Firat,Sisli,41.05044,28.98036,Entire home/apt,446,5,5,0.44,364,,
Samatya Seaside Vintage Hideaway,Catherine & Abit,Fatih,41.00062,28.93048,Private room,514,1,0,,365,,
Cozy private room with double bed,Okan,Kartal,40.89079,29.22266,Private room,137,1,1,0.01,365,,
ayasofya houses 1 Old city,Metin,Fatih,41.01125,28.97997,Entire home/apt,254,2,52,0.70,364,,
coshkun house 3 Old city,Metin,Fatih,41.00887,28.97919,Entire home/apt,322,2,7,0.18,359,,
I have 3 rooms! Enjoy your choice!,Fuat,Umraniye,41.03333,29.15665,Private room,384,1,0,,365,,
ayasofya houses 2 Old city,Metin,Fatih,41.01073,28.9788,Entire home/apt,501,2,45,0.75,270,,
ayasofya houses double ,Metin,Fatih,41.01049,28.97836,Entire home/apt,425,2,6,0.09,365,,
"Huge terrace,cozy,central,best area",Deniz,Beyoglu,41.03138,28.98239,Entire home/apt,343,2,36,0.50,78,,
Brand new Cihangir house with view,Sule,Beyoglu,41.03057,28.98079,Entire home/apt,309,150,0,,357,,
LARGE ROOM IN CENTER OF MODERN CITY,Ata,Sisli,41.06774,28.99423,Private room,233,1,4,0.06,365,,
Nice triple room in taksim,Malih,Beyoglu,41.03634,28.98144,Private room,137,1,0,,365,,
Fascinating Location near Taksim Sq,Coşan,Sisli,41.04639,28.98494,Private room,144,2,0,,364,,
Lovely room in bright garden flat..,Deniz,Tuzla,40.83077,29.29978,Private room,69,15,2,0.03,0,,
HERE 2 SLEEP !!,Al,Beyoglu,41.03964,28.98018,Entire home/apt,130,1,0,,364,,
a single room,Goksel,Beyoglu,41.03449,28.98022,Private room,192,1,0,,365,,
NICE APARTMENT IN TAKSIM,Malih,Beyoglu,41.03609,28.98015,Entire home/apt,1028,1,0,,365,,
Cute Studio in Cihangir BEYOĞLU,Pelin,Beyoglu,41.0325,28.98255,Entire home/apt,123,2,275,3.70,90,,
Galata Charm+ 3 BR +High Ceilings,Idil,Beyoglu,41.02576,28.97428,Entire home/apt,693,1,176,2.41,364,,
Your Luxurious Motorhome in Turkey,Pampacamper,Beyoglu,41.037,28.98756,Entire home/apt,1001,5,0,,363,,
Şişli Luxury Apt- new summer price,Deniz,Sisli,41.05431,28.98043,Entire home/apt,459,1,0,,0,,
Bomonti Lux Apart,Deniz,Sisli,41.05565,28.98007,Entire home/apt,384,1,0,,0,,
2 minute walk to the Blue Mosque ,Ayşe,Fatih,41.00507,28.97817,Entire home/apt,576,1,3,0.04,365,,
2 minute walk to the Blue Mosque ,Ayşe,Fatih,41.00478,28.97668,Entire home/apt,494,1,0,,365,,
"Great Location, Nişantaşı İstanbul",Aytul,Besiktas,41.04898,29.00496,Entire home/apt,576,1,0,,364,,
Luxe King Studio in the Taksim,Murat,Beyoglu,41.03718,28.98181,Hotel room,199,4,34,0.47,365,,
Luxe Apartment  1+1 in Taksim ,Murat,Beyoglu,41.03718,28.98181,Hotel room,274,2,10,0.14,365,,
Connected 4 bedroom apartment,Murat,Beyoglu,41.03719,28.98176,Hotel room,617,3,3,0.04,365,,
"quite new , clean , istanbul",Emre,Sisli,41.08686,29.00646,Private room,226,1,3,0.04,365,,
Central secure 100m2 residence unit,Cem,Besiktas,41.05303,29.00826,Entire home/apt,747,1,0,,365,,
Dream | White Bicycle Concept (Tiny Studio),Güner-Berivan,Beyoglu,41.03758,28.97485,Entire home/apt,144,2,29,0.39,359,,
